horizon_hours,SID,SEASON,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
6,2021241N32308,2021,2,1,84.78683469535594,84.78683469535594,87.96607654667064,88.36348177808497,2.842106089162314,3.3550017054466825,2.842106089162314,84.78683469535594,2.842106089162314,84.78683469535594,84.78683469535594,2.842106089162314,2.842106089162314
6,2021165N32282,2021,2,1,69.39522975966624,69.39522975966624,87.76394340338344,90.06003260884808,6.203403649214028,8.735357587443701,6.150142709354665,69.39522975966624,6.203403649214028,69.39522975966624,69.39522975966624,6.203403649214028,6.203403649214028
6,2021267N31298,2021,1,1,65.0244895898801,65.0244895898801,65.0244895898801,65.0244895898801,5.298470215416906,5.298470215416906,5.298470215416906,65.0244895898801,5.298470215416906,65.0244895898801,65.0244895898801,5.298470215416906,5.298470215416906
6,2020259N47338,2020,3,1,58.689538622642054,47.25174378922358,90.47688981198003,95.88003306482457,5.639378902603397,8.88837621229103,5.518538766204689,58.689538622642054,5.639378902603397,58.689538622642054,58.689538622642054,5.639378902603397,5.639378902603397
6,2023152N26274,2023,3,1,53.79411602083089,62.889904038553645,69.12371155887897,69.90293749891964,2.8079683400611373,4.001856315314414,2.8079683400611373,53.79411602083089,2.8079683400611373,53.79411602083089,53.79411602083089,2.8079683400611373,2.8079683400611373
6,2022304N34296,2022,3,1,52.564524593413545,54.0199262801254,57.4268442391914,57.852708984074646,4.001932306839261,4.095792644685303,-2.0591984680457074,52.564524593413545,4.001932306839261,52.564524593413545,52.564524593413545,4.001932306839261,4.001932306839261
6,2024268N17278,2024,8,1,50.14897329692963,49.069588851739006,93.33749754464588,97.68326299189424,10.94956154577799,14.376540987655341,3.734707460093084,50.14897329692963,10.94956154577799,50.14897329692963,50.14897329692963,10.94956154577799,10.94956154577799
6,2020186N30289,2020,5,1,49.0598632002912,40.47662823510183,76.9714199773425,82.29814402197665,2.8624639380447094,3.206589973751677,0.36759465264083957,49.0598632002912,2.8624639380447094,49.0598632002912,49.0598632002912,2.8624639380447094,2.8624639380447094
6,2025286N14320,2025,5,1,46.33190933275143,44.478559550927415,56.69070275024527,56.93564016181623,3.6049907085781343,5.109925703621981,1.3884048274913738,46.33190933275143,3.6049907085781343,46.33190933275143,46.33190933275143,3.6049907085781343,3.6049907085781343
6,2020299N18277,2020,16,1,45.65859880723433,35.92497553229543,85.28073860107568,99.44036670229326,5.080663885168878,6.110992405868705,0.46271343595355807,45.65859880723433,5.080663885168878,45.65859880723433,45.65859880723433,5.080663885168878,5.080663885168878
6,2022266N17341,2022,1,1,45.05683371024222,45.05683371024222,45.05683371024222,45.05683371024222,1.6330786227469822,1.6330786227469822,-1.6330786227469822,45.05683371024222,1.6330786227469822,45.05683371024222,45.05683371024222,1.6330786227469822,1.6330786227469822
6,2020291N32305,2020,23,1,44.40684400446262,37.734144422489436,82.09280940913993,86.79612897022109,2.960849081184898,4.2972284572209025,0.6674793293587351,44.40684400446262,2.960849081184898,44.40684400446262,44.40684400446262,2.960849081184898,2.960849081184898
6,2025281N38324,2025,1,1,44.234568084713764,44.234568084713764,44.234568084713764,44.234568084713764,4.030074451718498,4.030074451718498,4.030074451718498,44.234568084713764,4.030074451718498,44.234568084713764,44.234568084713764,4.030074451718498,4.030074451718498
6,2022278N14331,2022,5,1,43.55854538279894,47.06501359030602,50.71205996981241,51.57026867976897,0.11255311849877288,0.13536281352356147,-0.03527814319101097,43.55854538279894,0.11255311849877288,43.55854538279894,43.55854538279894,0.11255311849877288,0.11255311849877288
6,2022270N14324,2022,1,1,40.89556285639581,40.89556285639581,40.89556285639581,40.89556285639581,0.2681101246267268,0.2681101246267268,-0.2681101246267268,40.89556285639581,0.2681101246267268,40.89556285639581,40.89556285639581,0.2681101246267268,0.2681101246267268
6,2024279N21265,2024,16,1,40.487428376343914,35.04268646572841,69.05136699554956,74.99939433017335,11.808100386164815,15.377984101035134,-7.888230933774603,40.487428376343914,11.808100386164815,40.487428376343914,40.487428376343914,11.808100386164815,11.808100386164815
6,2024253N21266,2024,8,1,40.30026719328265,38.37877943082128,63.52713344480019,70.21443999318224,7.878608671652883,9.16096611304973,-0.43565356878540396,40.30026719328265,7.878608671652883,40.30026719328265,40.30026719328265,7.878608671652883,7.878608671652883
6,2022311N21293,2022,13,1,40.115967040006964,37.743858308323524,78.89137733773785,85.3677946070456,5.195520431089734,5.966085452150554,1.4405357988677556,40.115967040006964,5.195520431089734,40.115967040006964,40.115967040006964,5.195520431089734,5.195520431089734
6,2022263N29314,2022,17,1,39.74921228895145,34.36585985946645,67.60683068206389,69.78173508399868,2.2426549946104966,2.8543214255005176,-0.3025373506226739,39.74921228895145,2.2426549946104966,39.74921228895145,39.74921228895145,2.2426549946104966,2.2426549946104966
6,2021179N30287,2021,1,1,39.3975918693693,39.3975918693693,39.3975918693693,39.3975918693693,9.69521118410448,9.69521118410448,9.69521118410448,39.3975918693693,9.69521118410448,39.3975918693693,39.3975918693693,9.69521118410448,9.69521118410448
6,2024293N21294,2024,10,1,38.8948559442634,33.612961664312124,70.73564195476614,77.35857643724994,5.841950130481604,7.895114905413982,3.2160249481993803,38.8948559442634,5.841950130481604,38.8948559442634,38.8948559442634,5.841950130481604,5.841950130481604
6,2023239N21274,2023,15,1,38.66668083081935,30.829806504630742,65.38596802165199,70.03333250984156,5.551914071952544,9.255289187971771,0.9214965920881752,38.66668083081935,5.551914071952544,38.66668083081935,38.66668083081935,5.551914071952544,5.551914071952544
