model,horizon_hours,wind_change_bin,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
constant-motion,6,steady (-5 to 5),1116,98,27.238644983450026,22.690306549096064,55.3697339124721,68.27282536664072,1.5188172043010753,2.755736928936682,-1.5188172043010753,29.11727473472298,1.515095954586125,26.70857606102368,31.868808793070333,1.287495605474221,1.7603481785848003
constant-motion,6,strengthening (>5),172,54,27.42694717736307,23.99675835254199,49.34801342012751,66.85683962438664,12.761627906976743,13.63455766758488,-12.761627906976743,30.38024601559055,12.020465902410349,26.3211133318825,34.85446692006251,11.333314043209878,12.741544495884776
constant-motion,6,weakening (<-5),484,97,30.96333264039349,24.20524417136702,61.912737789286595,76.6196922489598,8.109504132231406,10.402538628496188,8.109504132231406,32.00516622609941,8.201124010131064,28.421096083214692,35.76519039500314,7.316321357434691,9.254233012646603
constant-motion,12,steady (-5 to 5),701,91,66.66135629255709,55.60741177636595,133.76636075989228,157.22341891963993,1.9543509272467903,3.1259805879489964,-1.9543509272467903,72.80513714701208,1.8683959425526295,65.69023220424683,80.93437917791009,1.5469980984818168,2.1832773382431783
constant-motion,12,strengthening (>5),359,71,63.60145779891879,54.46707522430046,122.21431626305184,137.36787766941148,15.654596100278551,17.83552212810639,-15.654596100278551,66.56749563997984,14.098040261772658,57.85771351801311,77.00648754533455,13.110823654045486,15.116187846777636
constant-motion,12,weakening (<-5),601,90,76.22733709302301,59.631932698275506,156.0914523863489,199.12466274026758,11.364392678868553,15.782422455664136,11.364392678868553,75.2097371383615,12.037630706258158,68.15246699426982,83.19942287480742,10.301224650440336,13.965326477602826
constant-motion,24,steady (-5 to 5),376,75,180.34767338933597,155.27100756285205,349.9703508043234,420.8078554967454,2.2606382978723403,3.3620219346937197,-2.2606382978723403,181.51391204191071,2.088175831067988,161.73124389829522,202.87816943227645,1.7189791443124773,2.472987252897792
constant-motion,24,strengthening (>5),472,68,159.33475733335624,133.69533302029612,306.10911863266483,382.01787871112873,21.091101694915253,25.013767395617037,-21.091101694915253,166.24758707379334,19.28973799172761,147.52072430396083,186.8543302510424,17.36651809314412,21.32859000335617
constant-motion,24,weakening (<-5),617,83,194.23330174062662,155.63797050563642,380.01248845404075,485.19448208917964,16.085899513776337,22.542055060560084,16.085899513776337,197.126024742761,16.601539423551156,176.50911252433013,218.35254073085022,14.133244572067296,19.172186276741996
constant-motion,48,steady (-5 to 5),196,54,481.6496552291132,413.83239488103123,966.4104418774477,1095.9594447477493,2.270408163265306,3.369278975734501,-2.270408163265306,468.5723828407388,2.4693378894767783,406.5221175786568,536.2145544963165,1.9913079622281011,2.964967298647853
constant-motion,48,strengthening (>5),423,57,417.9182347983583,363.45508401479225,803.9134753877752,913.9939542804317,28.88888888888889,34.574413529689636,-28.88888888888889,447.285661660994,25.365857010206852,394.0602187699488,504.7494450260952,21.60047675868593,29.210698726797798
constant-motion,48,weakening (<-5),496,76,494.64707857078145,410.13933987546125,949.8031394595932,1144.910115086815,21.068548387096776,28.048057836276236,21.068548387096776,508.3519081652753,19.185514268357068,450.707050092642,572.8997921390644,16.213303238870242,22.40011025591444
gru,6,steady (-5 to 5),1116,98,26.646539222904682,22.214602946714898,51.478753296125795,63.713405365091035,2.4684247318741495,3.3301185863332643,-0.69145513066311,29.032124647703494,2.532884398406922,27.024888085095487,31.261518895436943,2.2870893909056984,2.8016485707909764
gru,6,strengthening (>5),172,54,27.564327480494992,24.098330073109437,48.13475008793155,59.35348711979289,7.845451934592375,9.37311969312729,-7.7889394486061745,28.646685891396842,7.922181873144483,25.307629806089498,31.756577017302654,7.099435571538017,8.727222644537267
gru,6,weakening (<-5),484,97,30.342037210556725,25.146579833013057,57.61730166805057,73.98470853230585,5.47516572138543,7.24236175669081,4.644816908211056,31.89033570711602,6.065249035792569,28.87700678727158,35.351832700836724,5.428540871968368,6.78657730409431
gru,12,steady (-5 to 5),701,91,62.46855296531255,54.12593924205856,115.08810887556221,142.31841302680496,3.615242431808156,4.619822495830597,-0.8103620064895186,66.54442813809796,3.8167814509702023,60.80616173350842,72.64091839828781,3.3998636563829137,4.25895718133791
gru,12,strengthening (>5),359,71,59.15935424224688,50.922609243253554,107.97477205677632,128.81761976616087,10.968431015926145,13.969657712243011,-10.645669995318155,61.340459916936005,10.196919171329043,55.249998826087264,67.89153601089036,9.030987336960463,11.351890753486797
gru,12,weakening (<-5),601,90,68.70681786948913,56.144564347879495,134.71307142947026,161.77880218626728,8.070233804292538,11.254355452875188,6.63573576788576,71.71645943220298,9.18081412120088,65.67133556114071,78.5861542233016,7.829460163523579,10.676651214266144
gru,24,steady (-5 to 5),376,75,156.98046102075168,137.47594781619526,290.53386754665667,366.1251417935107,5.781633411972861,7.929462229729859,-0.9286560105852506,159.7610992192032,6.201453122878533,141.97730439729855,178.3178168873931,5.144905692502907,7.575897324789138
gru,24,strengthening (>5),472,68,140.47417326085358,125.46124610174074,257.27812460004577,305.2531744925156,15.899680306881427,21.24118198845452,-14.75397865667891,146.12522267879154,14.509134000265734,130.13591627075886,163.61498735666012,12.413817943686544,16.938887558564538
gru,24,weakening (<-5),617,83,159.70557268961835,132.13341563662306,297.44685507175524,380.49468915273235,11.49369006541986,15.424510159009584,8.76188273121239,164.61176401466773,12.42103338650346,149.60760128728703,182.54224604778358,10.994643576074415,13.872702173953783
gru,48,steady (-5 to 5),196,54,387.98521562369785,359.81101260400686,699.4793334268561,810.7138623396243,9.527991513298122,11.549069642435317,4.225822852174471,370.1893644081306,10.611982779055564,318.1029489066671,425.09477557690275,8.922173656828294,12.325017808204922
gru,48,strengthening (>5),423,57,339.08988682554264,308.130822342288,602.1429895581558,690.4938414043845,19.937718002407987,26.568714469329304,-18.443605196060727,362.4829870203615,17.68002030148479,320.30674530990945,404.9341331877658,14.167866247283678,21.792291237575405
gru,48,weakening (<-5),496,76,369.9364149259922,311.72555440884156,686.8692369262283,829.1735427882977,16.01697448828392,20.145480298951068,12.689844495926595,398.475500292172,16.929436660441706,354.14582263184315,447.2343615032563,14.643409820465942,19.357687589010368
persistence,6,steady (-5 to 5),1116,98,118.98583273733675,112.7827838645164,184.2603667400632,213.4024609435968,1.5188172043010753,2.755736928936682,-1.5188172043010753,126.60500481594869,1.515095954586125,116.22255113331401,138.52865478907643,1.2714262107673377,1.76028869397846
persistence,6,strengthening (>5),172,54,121.97202422544689,122.25122213160185,194.85490572197122,215.96572103323788,12.761627906976743,13.63455766758488,-12.761627906976743,128.59196999524772,12.020465902410349,115.10346191835923,142.63165751094735,11.387656158142267,12.73226135361552
persistence,6,weakening (<-5),484,97,134.51406904111735,120.13911888060794,225.01090228490273,289.00556809675095,8.109504132231406,10.402538628496188,8.109504132231406,137.00268998464577,8.201124010131064,125.46932832556256,148.5267062811205,7.289004105144569,9.204868237206814
persistence,12,steady (-5 to 5),701,91,233.6324848594465,221.22937459307457,361.61348989888745,417.9568776464603,1.9543509272467903,3.1259805879489964,-1.9543509272467903,248.33093072887746,1.8683959425526295,227.2778533188967,269.8347033921133,1.5469393778126934,2.203566446526611
persistence,12,strengthening (>5),359,71,232.46782747423734,224.7397811781143,364.5259794475948,402.3580215389559,15.654596100278551,17.83552212810639,-15.654596100278551,239.76756367506812,14.098040261772658,218.9824497214341,260.8945770157133,13.119883378554153,15.13833569599415
persistence,12,weakening (<-5),601,90,256.1826133437887,234.7840841586984,399.41007156969425,543.8724150776903,11.364392678868553,15.782422455664136,11.364392678868553,263.78545448771666,12.037630706258158,241.29494852107177,286.4777495180346,10.265543969692253,13.901874161491191
persistence,24,steady (-5 to 5),376,75,453.0772728101919,450.36181073157627,693.507761362561,786.6768325336436,2.2606382978723403,3.3620219346937197,-2.2606382978723403,470.4292943812668,2.088175831067988,435.1385762380691,506.98450740471185,1.7129289971103696,2.4567116396675215
persistence,24,strengthening (>5),472,68,455.63033323928136,442.57672964749156,700.5649291626378,775.1816586412608,21.091101694915253,25.013767395617037,-21.091101694915253,482.39964765499315,19.28973799172761,437.48775697151916,531.25216332273,17.402310056281184,21.358799442429685
persistence,24,weakening (<-5),617,83,474.17305853364246,437.9354652163221,738.6017872749716,884.4350436443007,16.085899513776337,22.542055060560084,16.085899513776337,491.7206982178806,16.601539423551156,452.61487579803264,532.1773647795503,14.220935652322384,19.204199356093774
persistence,48,steady (-5 to 5),196,54,823.2289126273524,808.9316820133321,1293.07435898652,1467.295268063331,2.270408163265306,3.369278975734501,-2.270408163265306,890.3516091589368,2.4693378894767783,807.0527934826799,969.8349718883896,1.9658413249559084,2.967057980599647
persistence,48,strengthening (>5),423,57,851.7499224466418,847.229134297156,1332.3596711254936,1423.343455057537,28.88888888888889,34.574413529689636,-28.88888888888889,864.1345880123959,25.365857010206852,786.0231356989098,941.6107361349325,21.578549510452564,29.02097842280698
persistence,48,weakening (<-5),496,76,882.7538869640223,866.9145484634237,1355.337822360972,1553.3658065191535,21.068548387096776,28.048057836276236,21.068548387096776,907.3551450827523,19.185514268357068,826.88104794158,988.0079890706268,16.046175490310702,22.664507508640558
ridge,6,steady (-5 to 5),1116,98,25.677137522834187,20.99946538706231,50.878854006941765,62.20487631430473,2.3872611278097127,3.081623360172978,-1.0614369796603023,27.33519210127627,2.3625052216864932,25.221755227613116,29.631963164981833,2.1701095545279396,2.5497068789024304
ridge,6,strengthening (>5),172,54,25.40960800607564,21.029733299535263,46.449649363939734,60.28742519861302,9.71254565059003,10.743509535200344,-9.62413169449888,26.897189487544786,9.312388754456443,23.30860736304287,30.37003623366997,8.756180434799308,9.943753962722814
ridge,6,weakening (<-5),484,97,28.421070944954675,22.01099275786937,56.851311363556306,68.76221399116267,5.762646484347283,8.1435193880757,5.28362835118161,30.42724803681785,6.497903329074891,27.10681315018753,34.14704989547194,5.712725936866794,7.331969099128344
ridge,12,steady (-5 to 5),701,91,61.59130700694053,51.703611144019646,116.49212653754212,143.92676538681036,3.514610024784463,4.515361844086071,-1.1766520292498501,65.53884249419164,3.5334852463238837,59.94653244655568,72.25143322125088,3.1960934764302418,3.8874427255768884
ridge,12,strengthening (>5),359,71,57.59077115723617,48.70929923266905,106.6262600833048,133.53072838544293,12.812327895313656,15.532621087406094,-12.748315227216699,61.00210192094965,11.277068750453282,54.2181868439417,68.39797501751703,10.158683677257713,12.423224487675569
ridge,12,weakening (<-5),601,90,66.19728493836757,52.65217098430283,133.50778921367635,165.2464726985924,8.728790398904279,13.143177920949633,7.759598220230103,68.57801352087834,10.317377756700825,62.46635483781901,75.27782342908056,8.738692390391094,12.159702226638023
ridge,24,steady (-5 to 5),376,75,160.14945194884638,142.1648108494993,290.5707576191851,360.974039148148,5.475332105315257,6.9718380284867765,-0.8616190407655825,161.13613183675392,5.818306113621941,144.71738992657023,178.88802140393844,5.067591807982199,6.593409998153813
ridge,24,strengthening (>5),472,68,138.60118026730586,118.5053902555735,250.9246622149537,302.49356585435913,18.248363268256053,23.179804808326644,-18.100981446279505,144.33616295794397,15.944126129215837,129.4541545804941,161.0527673205801,13.655249651202947,18.106078019742565
ridge,24,weakening (<-5),617,83,160.8216455820035,131.39623095149864,309.47432383751476,396.3686695061137,13.146846653947069,18.8219789265828,11.86588364672861,166.74656197614152,15.026894560516405,150.71543974870366,184.58298779166236,13.12420325225851,17.11093554218309
ridge,48,steady (-5 to 5),196,54,395.0139770248072,351.54193233133464,708.4371538363811,861.7569987701035,9.648009808628798,12.255777456465584,1.4909869935831703,380.60208730757324,9.882958316266384,326.068616950149,439.9002384437138,8.12610890339438,11.739244904356967
