horizon_hours,seed,origins,storms,track_error_km,wind_mae,wind_rmse,gru_hidden_size,gru_epochs_trained,gru_validation_mse,torch_version
6,42,1772,107,27.745004576363552,3.8116026764514603,5.462466377751607,32,84,0.23405471444129944,2.12.1
6,43,1772,107,27.79714480880419,3.8308706067900475,5.616061863987757,32,80,0.2373635470867157,2.12.1
6,44,1772,107,26.901465051052284,3.8051382788984673,5.576593060202343,32,71,0.23698486387729645,2.12.1
12,42,1661,97,64.01051254738934,6.81647332678797,9.849670015768663,32,65,0.2762218415737152,2.12.1
12,43,1661,97,63.09643092659727,6.873062004587193,9.897806291372394,32,68,0.2723367512226105,2.12.1
12,44,1661,97,63.01363411696014,6.856999057001149,10.042557542448327,32,59,0.2730266749858856,2.12.1
24,42,1465,89,152.8101033941434,11.447201391204016,16.17726114299924,32,46,0.3429769277572632,2.12.1
24,43,1465,89,152.8699349893973,11.401113489370054,15.994527915351942,32,25,0.3444214165210724,2.12.1
24,44,1465,89,155.11625109340454,11.447215031873396,16.155125123885103,32,46,0.3419436514377594,2.12.1
48,42,1115,81,361.4068037603063,16.363731298487743,21.720477857562553,16,30,0.46701130270957947,2.12.1
48,43,1115,81,361.1832836671419,16.238873441578,21.6550578677113,16,19,0.46599262952804565,2.12.1
48,44,1115,81,361.5917894278785,16.276524639661545,21.836397221389998,32,16,0.46570098400115967,2.12.1
