horizon_hours,seeds,origins,storms,track_error_km_mean,wind_mae_mean,wind_rmse_mean,track_error_km_std,wind_mae_std,wind_rmse_std
6,3,1772,107,27.481204812073344,3.815870520713325,5.551707100647235,0.5027457546725853,0.01338652477914251,0.07976450705209502
12,3,1661,97,63.37352586364892,6.848844796125437,9.930011283196462,0.5531978437851004,0.02916228028786375,0.1003955706739135
24,3,1465,89,153.59876315898177,11.431843304149155,16.10897139407876,1.31452355562262,0.026612801126250883,0.09972704348809981
48,3,1115,81,361.3939589517756,16.293043126575764,21.737310982221285,0.20455556938980732,0.06404698599836521,0.09183412144995168
