model,split,n,mae,rmse,mase
seasonal_naive,validation,48,0.625,1.0606601717798212,0.5731382978723405
seasonal_naive,test,72,1.1805555555555556,2.0172864061517006,1.0825945626477542
arima,validation,48,1.2083333333333333,1.8371173070873836,1.108067375886525
arima,test,72,1.5277777777777777,2.3921166824012206,1.4010047281323876
sarima,validation,48,0.625,1.0606601717798212,0.5731382978723405
sarima,test,72,1.1805555555555556,2.0172864061517006,1.0825945626477542
holt_winters,validation,48,1.7493163767696298,2.2226118303092544,1.6041603369951287
holt_winters,test,72,2.0932348026041065,2.6058355784671523,1.9195408508986596
