month,actual,forecast,residual,model,split
2021-01-01 00:00:00+00:00,0.0,-0.19057448045259662,0.19057448045259662,lstm,test
2021-02-01 00:00:00+00:00,0.0,-0.4066868911432806,0.4066868911432806,lstm,test
2021-03-01 00:00:00+00:00,0.0,-0.15742155828128546,0.15742155828128546,lstm,test
2021-04-01 00:00:00+00:00,0.0,0.22630557448880495,-0.22630557448880495,lstm,test
2021-05-01 00:00:00+00:00,1.0,0.5561441517011225,0.4438558482988775,lstm,test
2021-06-01 00:00:00+00:00,4.0,1.490233864468066,2.509766135531934,lstm,test
2021-07-01 00:00:00+00:00,0.0,3.571222516990474,-3.571222516990474,lstm,test
2021-08-01 00:00:00+00:00,7.0,1.0483722574903211,5.951627742509679,lstm,test
2021-09-01 00:00:00+00:00,8.0,4.0610974577700745,3.9389025422299255,lstm,test
2021-10-01 00:00:00+00:00,1.0,4.625065572443134,-3.625065572443134,lstm,test
2021-11-01 00:00:00+00:00,0.0,1.0004018949463145,-1.0004018949463145,lstm,test
2021-12-01 00:00:00+00:00,0.0,-0.1893873712849654,0.1893873712849654,lstm,test
2022-01-01 00:00:00+00:00,0.0,-0.3553114316651431,0.3553114316651431,lstm,test
2022-02-01 00:00:00+00:00,0.0,-0.05896107665647321,0.05896107665647321,lstm,test
2022-03-01 00:00:00+00:00,0.0,0.33109597952149983,-0.33109597952149983,lstm,test
2022-04-01 00:00:00+00:00,0.0,0.6415901635877432,-0.6415901635877432,lstm,test
2022-05-01 00:00:00+00:00,0.0,0.8360214649985025,-0.8360214649985025,lstm,test
2022-06-01 00:00:00+00:00,1.0,0.9269978440342754,0.07300215596572457,lstm,test
2022-07-01 00:00:00+00:00,2.0,1.6250551835370857,0.37494481646291433,lstm,test
2022-08-01 00:00:00+00:00,0.0,2.4402028511276797,-2.4402028511276797,lstm,test
2022-09-01 00:00:00+00:00,7.0,0.9937342516027456,6.006265748397254,lstm,test
2022-10-01 00:00:00+00:00,4.0,4.160696142243694,-0.16069614224369388,lstm,test
2022-11-01 00:00:00+00:00,2.0,2.915994903049807,-0.9159949030498069,lstm,test
2022-12-01 00:00:00+00:00,0.0,1.2331951225790405,-1.2331951225790405,lstm,test
2023-01-01 00:00:00+00:00,1.0,-0.05986668455909694,1.059866684559097,lstm,test
2023-02-01 00:00:00+00:00,0.0,0.3027765383960741,-0.3027765383960741,lstm,test
2023-03-01 00:00:00+00:00,0.0,0.1585118093251765,-0.1585118093251765,lstm,test
2023-04-01 00:00:00+00:00,0.0,0.34657931457795854,-0.34657931457795854,lstm,test
2023-05-01 00:00:00+00:00,0.0,0.5927206469847093,-0.5927206469847093,lstm,test
2023-06-01 00:00:00+00:00,3.0,0.7823536267556115,2.2176463732443885,lstm,test
2023-07-01 00:00:00+00:00,1.0,2.844119631690333,-1.844119631690333,lstm,test
2023-08-01 00:00:00+00:00,7.0,1.8402627011751989,5.159737298824801,lstm,test
2023-09-01 00:00:00+00:00,6.0,4.344865903941525,1.6551340960584753,lstm,test
2023-10-01 00:00:00+00:00,3.0,3.902782937139108,-0.9027829371391078,lstm,test
2023-11-01 00:00:00+00:00,0.0,1.7707092706066305,-1.7707092706066305,lstm,test
2023-12-01 00:00:00+00:00,0.0,0.01724611656209163,-0.01724611656209163,lstm,test
2024-01-01 00:00:00+00:00,0.0,-0.3716918689485027,0.3716918689485027,lstm,test
2024-02-01 00:00:00+00:00,0.0,-0.16895623056633724,0.16895623056633724,lstm,test
2024-03-01 00:00:00+00:00,0.0,0.22512821837560182,-0.22512821837560182,lstm,test
2024-04-01 00:00:00+00:00,0.0,0.5735959937313524,-0.5735959937313524,lstm,test
2024-05-01 00:00:00+00:00,0.0,0.8070289777393498,-0.8070289777393498,lstm,test
2024-06-01 00:00:00+00:00,3.0,0.9269876286376331,2.073012371362367,lstm,test
2024-07-01 00:00:00+00:00,0.0,2.897496422390077,-2.897496422390077,lstm,test
2024-08-01 00:00:00+00:00,2.0,1.2330757095837228,0.7669242904162772,lstm,test
2024-09-01 00:00:00+00:00,6.0,1.8732068377552764,4.126793162244724,lstm,test
2024-10-01 00:00:00+00:00,4.0,4.142581088897316,-0.14258108889731602,lstm,test
2024-11-01 00:00:00+00:00,3.0,2.8210115952258406,0.17898840477415945,lstm,test
2024-12-01 00:00:00+00:00,0.0,1.7531986686686665,-1.7531986686686665,lstm,test
2025-01-01 00:00:00+00:00,0.0,0.05172712772113641,-0.05172712772113641,lstm,test
2025-02-01 00:00:00+00:00,0.0,-0.30239915090513136,0.30239915090513136,lstm,test
2025-03-01 00:00:00+00:00,0.0,-0.08013450046149728,0.08013450046149728,lstm,test
2025-04-01 00:00:00+00:00,0.0,0.2990451094752018,-0.2990451094752018,lstm,test
2025-05-01 00:00:00+00:00,0.0,0.622912686337969,-0.622912686337969,lstm,test
2025-06-01 00:00:00+00:00,2.0,0.8338116898859482,1.1661883101140518,lstm,test
2025-07-01 00:00:00+00:00,1.0,2.2765358072615243,-1.2765358072615243,lstm,test
2025-08-01 00:00:00+00:00,3.0,1.8706445973267307,1.1293554026732693,lstm,test
2025-09-01 00:00:00+00:00,3.0,2.8357146139877614,0.16428538601223863,lstm,test
2025-10-01 00:00:00+00:00,4.0,2.6358181190994685,1.3641818809005315,lstm,test
2025-11-01 00:00:00+00:00,0.0,2.86600137379196,-2.86600137379196,lstm,test
2025-12-01 00:00:00+00:00,0.0,0.41670753601904664,-0.41670753601904664,lstm,test
