month,actual,forecast,residual,model,split
2021-01-01 00:00:00+00:00,0.0,0.2666490519565732,-0.2666490519565732,prophet,test
2021-02-01 00:00:00+00:00,0.0,0.26514096493476313,-0.26514096493476313,prophet,test
2021-03-01 00:00:00+00:00,0.0,0.23741583491263185,-0.23741583491263185,prophet,test
2021-04-01 00:00:00+00:00,0.0,0.3827164836302559,-0.3827164836302559,prophet,test
2021-05-01 00:00:00+00:00,1.0,0.6216579987556539,0.37834200124434614,prophet,test
2021-06-01 00:00:00+00:00,4.0,1.25403016291487,2.7459698370851298,prophet,test
2021-07-01 00:00:00+00:00,0.0,2.0810119335619186,-2.0810119335619186,prophet,test
2021-08-01 00:00:00+00:00,7.0,4.343062765722645,2.656937234277355,prophet,test
2021-09-01 00:00:00+00:00,8.0,5.239246917347826,2.7607530826521742,prophet,test
2021-10-01 00:00:00+00:00,1.0,2.8730690292381516,-1.8730690292381516,prophet,test
2021-11-01 00:00:00+00:00,0.0,1.069860945148877,-1.069860945148877,prophet,test
2021-12-01 00:00:00+00:00,0.0,0.46434637771842113,-0.46434637771842113,prophet,test
2022-01-01 00:00:00+00:00,0.0,0.3032379948733641,-0.3032379948733641,prophet,test
2022-02-01 00:00:00+00:00,0.0,0.28889393793462315,-0.28889393793462315,prophet,test
2022-03-01 00:00:00+00:00,0.0,0.2720687306883862,-0.2720687306883862,prophet,test
2022-04-01 00:00:00+00:00,0.0,0.40082741690169543,-0.40082741690169543,prophet,test
2022-05-01 00:00:00+00:00,0.0,0.6695200512059751,-0.6695200512059751,prophet,test
2022-06-01 00:00:00+00:00,1.0,1.3411206426878923,-0.34112064268789233,prophet,test
2022-07-01 00:00:00+00:00,2.0,2.0011743021023065,-0.0011743021023065126,prophet,test
2022-08-01 00:00:00+00:00,0.0,4.389532387775807,-4.389532387775807,prophet,test
2022-09-01 00:00:00+00:00,7.0,5.244371320673075,1.7556286793269251,prophet,test
2022-10-01 00:00:00+00:00,4.0,2.7419517930583037,1.2580482069416963,prophet,test
2022-11-01 00:00:00+00:00,2.0,0.9912092403459463,1.0087907596540537,prophet,test
2022-12-01 00:00:00+00:00,0.0,0.42822480831564924,-0.42822480831564924,prophet,test
2023-01-01 00:00:00+00:00,1.0,0.2660955195733812,0.7339044804266188,prophet,test
2023-02-01 00:00:00+00:00,0.0,0.2786079220019,-0.2786079220019,prophet,test
2023-03-01 00:00:00+00:00,0.0,0.24390062463223194,-0.24390062463223194,prophet,test
2023-04-01 00:00:00+00:00,0.0,0.39882096611371765,-0.39882096611371765,prophet,test
2023-05-01 00:00:00+00:00,0.0,0.624464461862913,-0.624464461862913,prophet,test
2023-06-01 00:00:00+00:00,3.0,1.3360043074275114,1.6639956925724886,prophet,test
2023-07-01 00:00:00+00:00,1.0,1.9936863765431072,-0.9936863765431072,prophet,test
2023-08-01 00:00:00+00:00,7.0,4.27455322975397,2.7254467702460303,prophet,test
2023-09-01 00:00:00+00:00,6.0,5.381044130331193,0.6189558696688069,prophet,test
2023-10-01 00:00:00+00:00,3.0,2.8425860404564487,0.1574139595435513,prophet,test
2023-11-01 00:00:00+00:00,0.0,1.0912635550229979,-1.0912635550229979,prophet,test
2023-12-01 00:00:00+00:00,0.0,0.4655312653077768,-0.4655312653077768,prophet,test
2024-01-01 00:00:00+00:00,0.0,0.32121916316302235,-0.32121916316302235,prophet,test
2024-02-01 00:00:00+00:00,0.0,0.29177886883894044,-0.29177886883894044,prophet,test
2024-03-01 00:00:00+00:00,0.0,0.2689425119821185,-0.2689425119821185,prophet,test
2024-04-01 00:00:00+00:00,0.0,0.3972859318317783,-0.3972859318317783,prophet,test
2024-05-01 00:00:00+00:00,0.0,0.6554332777759639,-0.6554332777759639,prophet,test
2024-06-01 00:00:00+00:00,3.0,1.3920918859821665,1.6079081140178335,prophet,test
2024-07-01 00:00:00+00:00,0.0,2.040550180115498,-2.040550180115498,prophet,test
2024-08-01 00:00:00+00:00,2.0,4.408552515975069,-2.408552515975069,prophet,test
2024-09-01 00:00:00+00:00,6.0,5.307238356725349,0.6927616432746513,prophet,test
2024-10-01 00:00:00+00:00,4.0,2.731174457556193,1.2688255424438069,prophet,test
2024-11-01 00:00:00+00:00,3.0,1.01261904429516,1.98738095570484,prophet,test
2024-12-01 00:00:00+00:00,0.0,0.4218319019971344,-0.4218319019971344,prophet,test
2025-01-01 00:00:00+00:00,0.0,0.31468005582536684,-0.31468005582536684,prophet,test
2025-02-01 00:00:00+00:00,0.0,0.2786220011105893,-0.2786220011105893,prophet,test
2025-03-01 00:00:00+00:00,0.0,0.2619041568113998,-0.2619041568113998,prophet,test
2025-04-01 00:00:00+00:00,0.0,0.3860703422012841,-0.3860703422012841,prophet,test
2025-05-01 00:00:00+00:00,0.0,0.6351459582368872,-0.6351459582368872,prophet,test
2025-06-01 00:00:00+00:00,2.0,1.4273564704528723,0.5726435295471277,prophet,test
2025-07-01 00:00:00+00:00,1.0,1.9650646992105705,-0.9650646992105705,prophet,test
2025-08-01 00:00:00+00:00,3.0,4.33232265414336,-1.3323226541433604,prophet,test
2025-09-01 00:00:00+00:00,3.0,5.348821315865123,-2.3488213158651234,prophet,test
2025-10-01 00:00:00+00:00,4.0,2.7637708164962156,1.2362291835037844,prophet,test
2025-11-01 00:00:00+00:00,0.0,1.060229564683843,-1.060229564683843,prophet,test
2025-12-01 00:00:00+00:00,0.0,0.3872824101013037,-0.3872824101013037,prophet,test
