month,actual,forecast,model,split
2022-07-01 00:00:00+00:00,2.0,0.0,seasonal_naive,test
2022-08-01 00:00:00+00:00,0.0,7.0,seasonal_naive,test
2022-09-01 00:00:00+00:00,7.0,8.0,seasonal_naive,test
2022-10-01 00:00:00+00:00,4.0,1.0,seasonal_naive,test
2022-11-01 00:00:00+00:00,2.0,0.0,seasonal_naive,test
2022-12-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2023-01-01 00:00:00+00:00,1.0,0.0,seasonal_naive,test
2023-02-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2023-03-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2023-04-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2023-05-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2023-06-01 00:00:00+00:00,3.0,1.0,seasonal_naive,test
2023-07-01 00:00:00+00:00,1.0,2.0,seasonal_naive,test
2023-08-01 00:00:00+00:00,7.0,0.0,seasonal_naive,test
2023-09-01 00:00:00+00:00,6.0,7.0,seasonal_naive,test
2023-10-01 00:00:00+00:00,3.0,4.0,seasonal_naive,test
2023-11-01 00:00:00+00:00,0.0,2.0,seasonal_naive,test
2023-12-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2024-01-01 00:00:00+00:00,0.0,1.0,seasonal_naive,test
2024-02-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2024-03-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2024-04-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2024-05-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2024-06-01 00:00:00+00:00,3.0,3.0,seasonal_naive,test
2024-07-01 00:00:00+00:00,0.0,1.0,seasonal_naive,test
2024-08-01 00:00:00+00:00,2.0,7.0,seasonal_naive,test
2024-09-01 00:00:00+00:00,6.0,6.0,seasonal_naive,test
2024-10-01 00:00:00+00:00,4.0,3.0,seasonal_naive,test
2024-11-01 00:00:00+00:00,3.0,0.0,seasonal_naive,test
2024-12-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2025-01-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2025-02-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2025-03-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2025-04-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2025-05-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2025-06-01 00:00:00+00:00,2.0,3.0,seasonal_naive,test
2025-07-01 00:00:00+00:00,1.0,0.0,seasonal_naive,test
2025-08-01 00:00:00+00:00,3.0,2.0,seasonal_naive,test
2025-09-01 00:00:00+00:00,3.0,6.0,seasonal_naive,test
2025-10-01 00:00:00+00:00,4.0,4.0,seasonal_naive,test
2025-11-01 00:00:00+00:00,0.0,3.0,seasonal_naive,test
2025-12-01 00:00:00+00:00,0.0,0.0,seasonal_naive,test
2016-01-01 00:00:00+00:00,1.0,0.0,arima,validation
2016-02-01 00:00:00+00:00,0.0,0.9999999999999999,arima,validation
2016-03-01 00:00:00+00:00,0.0,0.0,arima,validation
2016-04-01 00:00:00+00:00,0.0,0.0,arima,validation
2016-05-01 00:00:00+00:00,1.0,2.7369110631344083e-48,arima,validation
2016-06-01 00:00:00+00:00,2.0,0.9999999999999999,arima,validation
2016-07-01 00:00:00+00:00,0.0,2.0,arima,validation
2016-08-01 00:00:00+00:00,5.0,-2.220446049250313e-16,arima,validation
2016-09-01 00:00:00+00:00,5.0,4.999999999999999,arima,validation
2016-10-01 00:00:00+00:00,1.0,5.0,arima,validation
2016-11-01 00:00:00+00:00,1.0,1.0,arima,validation
2016-12-01 00:00:00+00:00,0.0,1.0,arima,validation
2017-01-01 00:00:00+00:00,0.0,0.0,arima,validation
2017-02-01 00:00:00+00:00,0.0,0.0,arima,validation
2017-03-01 00:00:00+00:00,0.0,-1.0947644252537633e-47,arima,validation
2017-04-01 00:00:00+00:00,1.0,2.4308653429145085e-63,arima,validation
2017-05-01 00:00:00+00:00,0.0,0.9999999999999999,arima,validation
2017-06-01 00:00:00+00:00,2.0,0.0,arima,validation
2017-07-01 00:00:00+00:00,3.0,2.0,arima,validation
2017-08-01 00:00:00+00:00,4.0,3.0,arima,validation
2017-09-01 00:00:00+00:00,4.0,4.0,arima,validation
2017-10-01 00:00:00+00:00,3.0,4.0,arima,validation
2017-11-01 00:00:00+00:00,1.0,3.0,arima,validation
2017-12-01 00:00:00+00:00,0.0,1.0,arima,validation
2018-01-01 00:00:00+00:00,0.0,0.0,arima,validation
2018-02-01 00:00:00+00:00,0.0,0.0,arima,validation
2018-03-01 00:00:00+00:00,0.0,0.0,arima,validation
2018-04-01 00:00:00+00:00,0.0,0.0,arima,validation
2018-05-01 00:00:00+00:00,1.0,-1.6867516709168837e-80,arima,validation
2018-06-01 00:00:00+00:00,0.0,1.0,arima,validation
2018-07-01 00:00:00+00:00,2.0,0.0,arima,validation
2018-08-01 00:00:00+00:00,3.0,2.0,arima,validation
2018-09-01 00:00:00+00:00,7.0,3.0,arima,validation
2018-10-01 00:00:00+00:00,3.0,7.0,arima,validation
2018-11-01 00:00:00+00:00,0.0,3.0,arima,validation
2018-12-01 00:00:00+00:00,0.0,0.0,arima,validation
2019-01-01 00:00:00+00:00,0.0,0.0,arima,validation
2019-02-01 00:00:00+00:00,0.0,0.0,arima,validation
2019-03-01 00:00:00+00:00,0.0,0.0,arima,validation
2019-04-01 00:00:00+00:00,0.0,0.0,arima,validation
2019-05-01 00:00:00+00:00,1.0,0.0,arima,validation
2019-06-01 00:00:00+00:00,0.0,0.9999999999999999,arima,validation
2019-07-01 00:00:00+00:00,2.0,0.0,arima,validation
2019-08-01 00:00:00+00:00,3.0,1.9999999999999998,arima,validation
2019-09-01 00:00:00+00:00,7.0,3.0,arima,validation
2019-10-01 00:00:00+00:00,6.0,7.0,arima,validation
2019-11-01 00:00:00+00:00,1.0,6.0,arima,validation
2019-12-01 00:00:00+00:00,0.0,1.0,arima,validation
2020-01-01 00:00:00+00:00,0.0,2.220446049250313e-16,arima,test
2020-02-01 00:00:00+00:00,0.0,0.0,arima,test
2020-03-01 00:00:00+00:00,0.0,0.0,arima,test
2020-04-01 00:00:00+00:00,0.0,0.0,arima,test
2020-05-01 00:00:00+00:00,2.0,0.0,arima,test
2020-06-01 00:00:00+00:00,2.0,2.0,arima,test
2020-07-01 00:00:00+00:00,6.0,2.0,arima,test
2020-08-01 00:00:00+00:00,5.0,6.0,arima,test
2020-09-01 00:00:00+00:00,9.0,5.0,arima,test
2020-10-01 00:00:00+00:00,5.0,9.0,arima,test
2020-11-01 00:00:00+00:00,2.0,5.000000000000001,arima,test
2020-12-01 00:00:00+00:00,0.0,1.9999999999999996,arima,test
2021-01-01 00:00:00+00:00,0.0,0.0,arima,test
2021-02-01 00:00:00+00:00,0.0,0.0,arima,test
2021-03-01 00:00:00+00:00,0.0,0.0,arima,test
2021-04-01 00:00:00+00:00,0.0,4.861730685829017e-63,arima,test
2021-05-01 00:00:00+00:00,1.0,1.0795210693868056e-78,arima,test
2021-06-01 00:00:00+00:00,4.0,1.0,arima,test
2021-07-01 00:00:00+00:00,0.0,3.9999999999999996,arima,test
2021-08-01 00:00:00+00:00,7.0,8.881784197001252e-16,arima,test
2021-09-01 00:00:00+00:00,8.0,6.999999999999999,arima,test
2021-10-01 00:00:00+00:00,1.0,8.0,arima,test
2021-11-01 00:00:00+00:00,0.0,0.9999999999999991,arima,test
2021-12-01 00:00:00+00:00,0.0,0.0,arima,test
2022-01-01 00:00:00+00:00,0.0,2.465190328815662e-32,arima,test
2022-02-01 00:00:00+00:00,0.0,0.0,arima,test
2022-03-01 00:00:00+00:00,0.0,0.0,arima,test
2022-04-01 00:00:00+00:00,0.0,-5.397605346934028e-79,arima,test
2022-05-01 00:00:00+00:00,0.0,0.0,arima,test
2022-06-01 00:00:00+00:00,1.0,0.0,arima,test
2022-07-01 00:00:00+00:00,2.0,0.9999999999999999,arima,test
2022-08-01 00:00:00+00:00,0.0,2.0,arima,test
2022-09-01 00:00:00+00:00,7.0,0.0,arima,test
2022-10-01 00:00:00+00:00,4.0,6.999999999999999,arima,test
2022-11-01 00:00:00+00:00,2.0,3.9999999999999996,arima,test
2022-12-01 00:00:00+00:00,0.0,1.9999999999999998,arima,test
2023-01-01 00:00:00+00:00,1.0,0.0,arima,test
2023-02-01 00:00:00+00:00,0.0,1.0,arima,test
2023-03-01 00:00:00+00:00,0.0,-1.1102230246251565e-16,arima,test
2023-04-01 00:00:00+00:00,0.0,0.0,arima,test
2023-05-01 00:00:00+00:00,0.0,0.0,arima,test
2023-06-01 00:00:00+00:00,3.0,0.0,arima,test
2023-07-01 00:00:00+00:00,1.0,3.0000000000000004,arima,test
2023-08-01 00:00:00+00:00,7.0,1.0,arima,test
2023-09-01 00:00:00+00:00,6.0,7.0,arima,test
2023-10-01 00:00:00+00:00,3.0,6.0,arima,test
2023-11-01 00:00:00+00:00,0.0,2.9999999999999996,arima,test
2023-12-01 00:00:00+00:00,0.0,0.0,arima,test
2024-01-01 00:00:00+00:00,0.0,4.930380657631324e-32,arima,test
2024-02-01 00:00:00+00:00,0.0,0.0,arima,test
2024-03-01 00:00:00+00:00,0.0,0.0,arima,test
2024-04-01 00:00:00+00:00,0.0,0.0,arima,test
