model,horizon_hours,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt
constant-motion,6,1772,107,28.274275233627044,23.575674449497626,56.72825752661599,68.86721373114922,4.410270880361174,7.23770070619222,0.019751693002257337,30.532275842852787,4.485867317605387,28.129346235818893,33.34154093714355,3.8996413663943086,5.097313811320791
constant-motion,12,1661,97,69.46126652847754,56.66163257194189,136.93223228058113,172.0932906920565,8.320288982540639,12.7673103795873,-0.09632751354605659,72.96146532625585,8.22705201247115,67.05972195827172,79.7233921955687,7.09681173452857,9.386343491017605
constant-motion,24,1465,89,179.4257186550861,150.58076715606083,348.8318156767064,439.57655074548177,14.150170648464163,20.457230836928012,-0.6006825938566553,185.30969328745905,13.82961281458534,170.26456159820026,201.33157855895217,12.113586942986169,15.760855946950208
constant-motion,48,1115,81,463.2535396553537,384.9795642554994,902.6342158948116,1069.7035455640869,20.730941704035875,28.38042336705486,-1.9865470852017937,468.84679996866896,18.952738159019948,429.06096254259455,511.7217910385673,16.157779724104984,21.822274942849447
gru,6,1772,107,27.745004576363556,23.117361023463744,53.25290686104204,66.72838808257427,3.8116026764514603,5.462466377751607,0.07716132764890443,30.1367787837065,4.045797066452674,28.072371137947606,32.535895053465374,3.64544025146395,4.488078663321582
gru,12,1661,97,64.01051254738934,53.77839940570807,122.42214048727566,149.44741988035264,6.81647332678797,9.849670015768663,-0.24189169077003472,68.02989824653967,7.057018354180447,63.6447776276796,73.0533003773313,6.2402644521091295,7.92538887472531
gru,24,1465,89,152.8101033941434,130.4520358782266,287.3105043118295,357.62155175663764,11.447201391204016,16.17726114299924,-1.301686648992802,159.80201564746085,11.46690755089711,146.33715121501967,174.12955954946702,10.23219197978289,12.796165337804847
gru,48,1115,81,361.4068037603063,317.96019543486636,661.6618141706758,792.1242720153755,16.363731298487746,21.720477857562553,-0.6091666806528246,371.4488333699938,17.13425182032719,337.8700139612227,405.3077795508706,15.113459771616245,19.311544177017993
persistence,6,1772,107,123.51703550651551,114.47313160303526,193.53183756087097,238.92789383244443,4.410270880361174,7.23770070619222,0.019751693002257337,131.4403636203826,4.485867317605387,121.40203722037563,142.13750821778657,3.888832613145659,5.055626032931106
persistence,12,1661,97,241.5400798129682,227.32333434971724,375.0450821485284,449.6950224771163,8.320288982540639,12.7673103795873,-0.09632751354605659,256.6757196152351,8.22705201247115,237.35377586702032,279.0939064568641,7.115886809852665,9.338518219744515
persistence,24,1465,89,462.7845385534678,442.9712176699739,713.1561967812956,815.3109379965288,14.150170648464163,20.457230836928012,-0.6006825938566553,473.41263462660555,13.82961281458534,440.1294175365866,509.48506296737,11.983444199452256,15.88556942061642
persistence,48,1115,81,860.5282618870365,843.3059901002723,1333.995188334818,1468.5662542823425,20.730941704035875,28.38042336705486,-1.9865470852017937,864.5691633091722,18.952738159019948,799.5478421002224,928.064356572697,16.274626422546408,21.786116237881544
ridge,6,1772,107,26.400641303547417,21.28584330164105,51.96040766748363,63.799293883615064,4.020238244334768,5.9412152374704075,-0.15950236951625565,28.66989999404167,4.18596481712259,26.379109697842903,31.063568127890164,3.763273755608696,4.676887717544198
ridge,12,1661,97,62.39323377800843,51.01103823756653,122.77344704684609,153.172497544145,7.410819007545443,11.101960928318302,-0.4442863989865426,66.02375980280452,7.647540912744589,61.28665347957421,71.48741864832284,6.770864268373428,8.56724306735592
ridge,24,1465,89,153.49003845940666,129.9695225338087,290.98059491796806,362.3523579817313,12.821540423003915,18.297240635797056,-1.0555507112220024,159.2234415035146,13.263314892308028,147.26372830058597,171.79724257921464,11.875181155509548,14.756159377990066
ridge,48,1115,81,363.50877946667225,309.4205562511558,678.2284763575218,833.622114853521,18.29529211314861,24.361988076718283,-1.9055843945323236,372.98945276910234,19.310275915418792,340.40339976437076,408.8024121848812,17.350892288290193,21.637441686935603
