horizon_hours,common_origins,common_storms,storm_macro_gru_track_mean_km,storm_macro_ridge_track_mean_km,storm_macro_track_delta_gru_minus_ridge_km,storm_track_delta_ci95_low_km,storm_track_delta_ci95_high_km,storm_macro_gru_wind_mae_kt,storm_macro_ridge_wind_mae_kt,storm_macro_wind_mae_delta_gru_minus_ridge_kt,storm_wind_mae_delta_ci95_low_kt,storm_wind_mae_delta_ci95_high_kt
6,1772,107,30.1367787837065,28.66989999404167,1.4668787896648297,0.6735747000902017,2.3260270185230403,4.045797066452674,4.18596481712259,-0.14016775066991657,-0.32896308514701045,0.03735357398124355
12,1661,97,68.02989824653967,66.02375980280452,2.006138443735171,-1.172061761193799,5.037314666645744,7.057018354180447,7.647540912744589,-0.5905225585641429,-0.994044060457868,-0.18082249141565537
24,1465,89,159.80201564746085,159.2234415035146,0.5785741439462695,-3.3423700728148646,4.538615258834537,11.46690755089711,13.263314892308028,-1.7964073414109176,-2.6181358566274175,-1.0196664674831692
48,1115,81,371.4488333699938,372.98945276910234,-1.540619399108565,-14.536303717158868,11.120768930065683,17.13425182032719,19.310275915418792,-2.1760240950916048,-3.46540148986928,-0.7979398985682012
