model,horizon_hours,motion_bin,origins,storms,track_mean_km,track_median_km,track_p90_km,track_p95_km,wind_mae_kt,wind_rmse_kt,wind_bias_kt,storm_macro_track_mean_km,storm_macro_wind_mae_kt,storm_track_ci95_low_km,storm_track_ci95_high_km,storm_wind_mae_ci95_low_kt,storm_wind_mae_ci95_high_kt,difficulty,issue_intensity_bin,wind_change_bin
constant-motion,6,fast (>=25),462,74,36.5337278116495,28.670061835452167,74.08423505164305,92.71492207110472,4.891774891774892,8.085045786386456,0.8008658008658008,40.43852533734482,4.357882847588731,35.63567340413308,45.614242494236656,3.4377835180960186,5.406670409501291,motion,,
constant-motion,6,slow (<10),211,42,24.815287381345,22.23907054660393,53.07362529239783,61.73389959327244,3.696682464454976,5.6139636334523155,-0.8056872037914692,28.68434581386029,3.902988215488216,24.46388027991104,33.29281433584559,3.023507395382395,4.874664802789803,motion,,
constant-motion,6,typical (10-25),1099,97,25.46624916063809,22.24104647914838,48.68918831362935,62.142439261950514,4.344858962693357,7.13671255271323,-0.1501364877161055,27.38229965222385,4.550250242140751,25.429973715277928,29.390333844047433,3.854026964594277,5.294651270517592,motion,,
constant-motion,12,fast (>=25),417,65,91.69065791433005,75.38805621052346,185.0834512404709,236.65766750485713,9.34052757793765,14.308606187577288,1.211031175059952,103.51198590119454,8.48270358349544,90.17798654224636,118.17475347454854,6.78608749156826,10.289179815596668,motion,,
constant-motion,12,slow (<10),197,39,61.02151256066965,54.47902581978748,113.6834781930434,138.17896844437684,7.512690355329949,10.968343928229036,-1.4720812182741116,66.94684312072283,7.355766616636181,58.0746136683249,75.9922593995796,5.4697783697783695,9.354647652066127,motion,,
constant-motion,12,typical (10-25),1047,89,62.19572242509421,53.62972585389951,119.07209735473084,150.40560094558168,8.065902578796562,12.426479107094048,-0.3581661891117478,65.7480254149316,8.267469832857229,60.78647821341043,71.03078084118067,6.999021513006065,9.710736066688405,motion,,
constant-motion,24,fast (>=25),315,56,239.98874283116243,188.0793213061652,486.0802655456412,571.9451296783238,14.873015873015872,21.31584104287418,1.2222222222222223,272.05006934466843,13.737184173228428,239.43228411876467,308.73870782100886,10.94058361249258,17.023301025826743,motion,,
constant-motion,24,slow (<10),181,33,171.97437575339708,157.28824356780655,300.8776241316419,383.426268873648,12.679558011049725,18.526522722812693,-2.18232044198895,177.64795766508684,11.599778844344062,152.13376072813816,206.1971067406878,8.311608645983647,15.090612060041408,motion,,
constant-motion,24,typical (10-25),969,84,161.12988836586177,137.84862534160513,292.64106960959765,369.2614124939672,14.189886480908152,20.515794715714463,-0.8978328173374613,167.6474386453177,14.268844026589251,153.20350489913156,182.6100929491537,12.151904063223286,16.678578812057584,motion,,
constant-motion,48,fast (>=25),181,34,558.5660534992162,411.81925147574424,1087.4122413709415,1294.2538395376453,21.629834254143645,28.59268151929945,-0.1381215469613259,717.1535061427395,18.33958790392614,585.6577869968005,847.2026884877707,13.848754691999174,23.60960424379542,motion,,
constant-motion,48,slow (<10),162,27,480.8624149876959,424.7893232824576,906.2065705327047,1083.5856699316369,19.59876543209877,28.368714292637303,-3.796296296296296,515.7228695315656,22.144629804352025,431.2141030641555,610.0031976651376,15.97182656592379,29.765823528323526,motion,,
constant-motion,48,typical (10-25),772,72,437.2118261714437,375.0561509059244,818.6128593910313,983.3835497494404,20.757772020725387,28.33288885153745,-2.040155440414508,446.41005994467855,19.989585977087756,403.3696026434644,491.3322537558735,16.560526595208092,23.722864528720713,motion,,
gru,6,fast (>=25),462,74,34.60389373147955,27.82711398807146,68.5749249986182,82.50886075005185,4.115151871179662,5.955695056509425,0.267230193822746,38.40304799126384,4.027555628281528,33.880081935711374,43.2519553693374,3.3979183857166633,4.756240400448309,motion,,
gru,6,slow (<10),211,42,24.96901445248051,21.029068706545555,48.36818373840683,55.77747714281497,3.328489791377027,4.389361011639373,-0.3803363233460093,27.876052953936405,3.333291715929674,24.540308123133524,31.584328318849977,2.7318066858809535,3.9655499714677007,motion,,
gru,6,typical (10-25),1099,97,25.394619796086698,21.451437344513145,47.42513228998224,58.752440493282506,3.776750165792931,5.4314640674267025,0.0850959847804895,27.528965747187023,4.063883623511654,25.44025576578172,29.738033623040433,3.5768056559769024,4.563364478182547,motion,,
