model,horizon_hours,motion_bin,origins,storms,track_mean_km,north_bias_km,east_bias_km,north_mae_km,east_mae_km,wind_bias_kt,wind_mae_kt
constant-motion,6,fast (>=25),462,74,36.5337278116495,-9.903142857142852,-11.913182667801284,22.57723809523816,24.55063704888443,0.8008658008658008,4.891774891774892
constant-motion,6,slow (<10),211,42,24.815287381344998,-0.6330995260663177,-4.101445006997968,14.455772511848402,16.2932428478516,-0.8056872037914692,3.6966824644549763
constant-motion,6,typical (10-25),1099,97,25.466249160638093,-0.8812411282984657,-4.589721062200565,15.507818016378556,16.2539813018993,-0.15013648771610555,4.344858962693357
constant-motion,12,fast (>=25),417,65,91.69065791433005,-27.149266187050365,-40.24334293271988,54.64557314148686,63.95172249864554,1.211031175059952,9.34052757793765
constant-motion,12,slow (<10),197,39,61.02151256066965,-0.11301522842638705,-7.657762886996979,37.86010152284269,39.62007874711623,-1.4720812182741116,7.5126903553299496
constant-motion,12,typical (10-25),1047,89,62.19572242509421,-3.646872970391599,-12.224153146895464,37.606383954154744,41.30212759488694,-0.35816618911174786,8.065902578796562
constant-motion,24,fast (>=25),315,56,239.98874283116245,-81.63466666666667,-130.09636195543388,131.9583746031746,179.87794886036298,1.2222222222222223,14.873015873015873
constant-motion,24,slow (<10),181,33,171.97437575339708,-7.99535911602206,-18.64143343476155,110.33595580110496,111.25678122837726,-2.18232044198895,12.679558011049723
constant-motion,24,typical (10-25),969,84,161.12988836586175,-15.577907120743038,-40.18763468566324,96.68411971104233,109.52226218645063,-0.8978328173374613,14.189886480908152
constant-motion,48,fast (>=25),181,34,558.5660534992162,-187.58342541436454,-356.0951659600531,290.41604419889495,436.04468863317567,-0.13812154696132597,21.629834254143645
constant-motion,48,slow (<10),162,27,480.8624149876959,33.53343209876539,-52.965475090488205,292.45550617283953,323.6840905748352,-3.7962962962962963,19.598765432098766
constant-motion,48,typical (10-25),772,72,437.21182617144365,-86.67675129533677,-155.7259927512224,252.24362176165803,308.71557728030473,-2.040155440414508,20.757772020725387
gru,6,fast (>=25),462,74,34.60389373147955,-4.020136296506011,-0.8218453069373776,22.40712711703983,22.258915252784583,0.267230193822746,4.115151871179662
gru,6,slow (<10),211,42,24.96901445248051,5.6707719999587125,-1.5725835163145085,15.246126714804863,16.926434691257775,-0.3803363233460093,3.328489791377027
gru,6,typical (10-25),1099,97,25.394619796086698,1.5020765476527755,-0.05803694308421064,16.344403192648176,15.868182357164905,0.08509598478048953,3.776750165792931
gru,12,fast (>=25),417,65,76.40024652616822,-19.602292145731948,-7.02493796207919,51.22090443505596,46.50272084812571,0.014287719711643335,7.0261534979388145
gru,12,slow (<10),197,39,60.53351752861204,15.54691336577446,-4.957977560528972,36.434513903253006,40.979206269653965,-1.5849627929683783,6.27094099636052
gru,12,typical (10-25),1047,89,59.73013905125595,-0.7284594564527527,-3.5894914166719896,36.47818215818176,39.61300147543949,-0.09121528870488295,6.8356072692180625
gru,24,fast (>=25),315,56,183.90199054015312,-61.1623590781565,-26.513719444662296,115.29736899627346,121.25512950297419,-1.5392866690969313,10.68095812209519
gru,24,slow (<10),181,33,157.96816769183334,42.00915635425828,-7.6285199426734716,99.95964358873259,104.33618561781364,-1.0321729675463633,12.139120550027581
gru,24,typical (10-25),969,84,141.73935614040246,-0.19850935213003815,1.0260544567974101,85.26762549832182,96.30967794594865,-1.2747908492084934,11.567045830855426
gru,48,fast (>=25),181,34,434.19091618295295,-156.90068508595377,-40.47598499891703,265.4436525724334,303.3256445834283,2.201755782760301,15.911051378514193
gru,48,slow (<10),162,27,401.38325860820964,149.6262276492425,5.922194887939408,236.46755890635075,279.4531063321951,-0.02482283805820418,18.085943903330076
gru,48,typical (10-25),772,72,335.95329335375266,-24.366116272480063,21.063386051101194,205.02297701740773,230.03803452397773,-1.390825577515654,16.108467857465406
persistence,6,fast (>=25),462,74,203.97045391658492,-104.66971428571428,12.70801700159074,107.41657142857143,152.18022743343934,0.8008658008658008,4.891774891774892
persistence,6,slow (<10),211,42,39.84193079389614,-8.810635071090033,10.166695377042853,23.371924170616104,26.837536157689126,-0.8056872037914692,3.6966824644549763
persistence,6,typical (10-25),1099,97,105.76086424983725,-56.99705550500455,37.53078976819869,64.16853503184713,70.78429132735428,-0.15013648771610555,4.344858962693357
persistence,12,fast (>=25),417,65,396.59297629286544,-204.62057553956834,40.103715747029064,209.74610071942445,294.3433908796977,1.211031175059952,9.34052757793765
persistence,12,slow (<10),197,39,80.70096030393461,-18.534497461928932,23.718762186277445,45.09307614213198,56.88402178245571,-1.4720812182741116,7.5126903553299496
persistence,12,typical (10-25),1047,89,210.0484357930661,-114.60537535816619,76.31049303745182,128.1721680993314,140.4150620734387,-0.35816618911174786,8.065902578796562
persistence,24,fast (>=25),315,56,764.7349819018368,-395.87512380952376,142.38457141059368,402.5189841269841,564.944591443128,1.2222222222222223,14.873015873015873
persistence,24,slow (<10),181,33,163.92825197899964,-46.37308287292818,39.61648910081878,97.7893922651934,110.4525984864257,-2.18232044198895,12.679558011049723
persistence,24,typical (10-25),969,84,420.4507905815819,-236.15004334365324,155.12215855677115,257.5409453044375,280.49878361817395,-0.8978328173374613,14.189886480908152
persistence,48,fast (>=25),181,34,1437.9470761272648,-686.001812154696,586.7959625775497,692.7671160220995,1104.2484516900865,-0.13812154696132597,21.629834254143645
persistence,48,slow (<10),162,27,330.75838066736725,-112.69432098765434,85.77722051034385,204.91125925925923,213.87073729473457,-3.7962962962962963,19.598765432098766
persistence,48,typical (10-25),772,72,836.3183077161882,-518.1138497409327,299.7460898189956,537.0036424870466,536.178449047618,-2.040155440414508,20.757772020725387
ridge,6,fast (>=25),462,74,32.94900019256578,-6.325561015522656,0.18477441699029273,21.5104854753845,20.82499332408951,0.16379992661366574,4.348746118828776
ridge,6,slow (<10),211,42,24.715380211556013,4.719462254367335,-5.397400236299674,14.534441424650334,16.870254140203688,-0.5709615719324159,3.396462911874914
ridge,6,typical (10-25),1099,97,23.97138587468819,1.2232062651624664,0.3022778230443011,15.331352261607044,15.185195485385664,-0.21641571719797892,4.001899715793183
