feature,count,mean,std,min,5%,25%,50%,75%,95%,max
latitude,47165.0,24.26355772288774,7.959560247559969,7.2,12.5,17.4,24.1,30.6,37.4,51.5
longitude,47165.0,-62.66323969044843,18.849856325026998,-104.3,-92.9,-77.9,-62.7,-47.9,-31.9,-8.3
wind,47165.0,55.719389377716524,26.349643829279856,10.0,25.0,35.0,50.0,70.0,110.0,165.0
north_step_km,47165.0,43.80907554330542,56.84682162148941,-222.64,-22.264000000000316,0.0,33.39600000000008,77.92399999999992,144.71600000000007,534.3360000000005
east_step_km,47165.0,-27.916558338383414,91.26388260829101,-381.66210874889646,-175.37902122743492,-88.00517712266365,-10.350271840907427,8.452208193251414,135.0725173111233,547.2480170602825
speed_kmh,47165.0,15.725591074161235,12.19802290264174,0.0,0.0,5.566000000000078,15.394949871157678,23.589687032926903,36.07286271544285,104.31670636656047
direction_sin,47165.0,-0.2403839113112389,0.6387410540103214,-1.0,-0.9957104309951811,-0.8872096143105427,-0.1701545513398061,0.052505837673331515,0.9303622515692749,1.0
direction_cos,47165.0,0.35423395431884025,0.4546195850263768,-1.0,-0.4266670215520138,0.0,0.3420739739473451,0.7575747118844185,0.990007227624272,1.0
wind_change,47165.0,0.522527297784374,5.401560669054945,-65.0,-5.0,0.0,0.0,5.0,10.0,55.0
